"estimate","se","df","t.stat","p.value","lower.ci","upper.ci","yr"
0.403996624920171,0.0528505647231238,615,7.6441307115004,8.12180256573752e-14,0.317065181848907,0.490928067991434,"2003"
0.491787933738201,0.0497517161077329,615,9.88484362375115,1.74928504690558e-21,0.409953643051337,0.573622224425066,"2004"
0.318769845678123,0.0533262430232418,615,5.97772930561018,3.83529078382856e-09,0.231055981429648,0.406483709926598,"2005"
0.384988744037918,0.0582204834404874,615,6.61259957470897,8.20707878364435e-11,0.289224570687964,0.480752917387872,"2006"
0.497424334751258,0.0526133262686337,615,9.45434113424998,6.73688591871152e-20,0.410883114212315,0.583965555290202,"2007"
0.594177700888466,0.0473593771179021,615,12.5461468677945,2.60993009926803e-32,0.516278457665922,0.67207694411101,"2008"
0.443175092284495,0.0414476753069588,615,10.6923992480246,1.36906622093622e-24,0.374999733227137,0.511350451341854,"2009"
0.660954072909327,0.0447545450883659,615,14.7684234440167,1.82009386298325e-42,0.587339397098165,0.734568748720489,"2010"
0.773479580181346,0.03905547436246,615,19.8046392421958,6.74362239599233e-68,0.709239041523943,0.837720118838749,"2011"
0.690651626798104,0.0337058115290151,615,20.4905799762028,1.60212022578699e-71,0.63521050045526,0.746092753140947,"2012"
0.650848883052903,0.0386054522918596,615,16.858988676844,1.04813735414374e-52,0.587348564830536,0.714349201275271,"2013"
0.640203109428155,0.0383570946123333,615,16.6906048515548,7.32823078129759e-52,0.577111303235738,0.703294915620573,"2014"
0.620575381697204,0.0367814026390384,615,16.8719879387783,9.01754653659389e-53,0.560075358162019,0.681075405232389,"2015"
0.574258844232279,0.0385496206622572,615,14.8966146583777,4.45828187839792e-43,0.510850360868362,0.637667327596197,"2016"
0.529476967408915,0.0363899230393251,615,14.550098576376,1.97176032363184e-41,0.469620870513196,0.589333064304634,"2017"
0.535437019237921,0.0414735636814134,615,12.9103209782255,6.51089194521777e-34,0.467219077593945,0.603654960881897,"2018"
