"region","estimate","se","df","t.stat","p.value","lower.ci","upper.ci","yr"
"Asia",0.149902640845232,0.133024363495964,193,1.12688109836195,0.261191872511783,0,0.36870824761448,"2003"
"Asia",0.207688308421619,0.0862130936514936,193,2.40901120265066,0.0169355762761878,0.0658803886382527,0.349496228204985,"2004"
"Asia",0.304699741783613,0.0711513697716184,193,4.28241568309419,2.91212198016812e-05,0.187666153152201,0.421733330415025,"2005"
"Asia",0.268384032455157,0.0588451962775254,193,4.56084862372462,9.0400545675239e-06,0.171592297929398,0.365175766980916,"2006"
"Asia",0.286400992569072,0.0438461246045145,193,6.53195681835889,5.6194777655031e-10,0.21428053548557,0.358521449652574,"2007"
"Asia",0.329458744130969,0.0440265449974363,193,7.48318415969625,2.50389584684336e-12,0.257041521909794,0.401875966352145,"2008"
"Asia",0.327353158423755,0.0421158803323287,193,7.77267757056651,4.46311469320752e-13,0.25807869990687,0.39662761694064,"2009"
"Asia",0.360508178100376,0.0435232024758404,193,8.28312618540633,1.97598507011576e-14,0.288918880651446,0.432097475549305,"2010"
"Asia",0.2780559467914,0.0427177749597139,193,6.50913927641661,6.36543689974757e-10,0.207791459713617,0.348320433869182,"2011"
"Asia",0.265667715791452,0.0386609372422293,193,6.87173500546343,8.52179318636875e-11,0.202076132947228,0.329259298635676,"2012"
"Asia",0.242635296916148,0.0377433930011649,193,6.42855020767898,9.86522559152575e-10,0.180552940044727,0.304717653787568,"2013"
"Asia",0.28266859663082,0.0416675407518332,193,6.78390400610299,1.39504168534621e-10,0.214131591099019,0.351205602162622,"2014"
"Asia",0.344839520305199,0.0454005564936173,193,7.59549104543859,1.28755282601482e-12,0.270162250291058,0.419516790319341,"2015"
"Asia",0.313366180728766,0.0456666357949515,193,6.86203779353961,8.99998188166803e-11,0.238251249210768,0.388481112246764,"2016"
"Asia",0.305861272708207,0.0423236930613292,193,7.2267151230163,1.12144094739383e-11,0.236244992670299,0.375477552746116,"2017"
